sigla_tribunal;ramo_justica;meta1;meta2a;meta2b;meta2c;meta2ant;meta4a;meta4b;meta6;meta7a;meta7b;meta8a;meta8b;meta10a;meta10b;meta8_stj;meta10_stj
TRE-PE;Tribunal Superior Eleitoral;23.35;131.7;NA;NA;0.0;44.44;41.84;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-PI;Tribunal Superior Eleitoral;52.24;132.46;NA;NA;0.0;NA;42.05;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-PR;Tribunal Superior Eleitoral;47.95;130.09;NA;NA;0.0;11.11;71.37;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-RJ;Tribunal Superior Eleitoral;35.01;120.93;NA;NA;12.5;22.22;41.36;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-RO;Tribunal Superior Eleitoral;49.26;128.77;NA;NA;33.33;0.0;48.39;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-RN;Tribunal Superior Eleitoral;31.75;136.26;NA;NA;57.14;9.26;51.38;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-RR;Tribunal Superior Eleitoral;16.27;138.63;NA;NA;NA;0.0;13.79;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-SC;Tribunal Superior Eleitoral;48.58;108.55;NA;NA;0.0;0.0;59.52;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-SE;Tribunal Superior Eleitoral;39.39;126.07;NA;NA;66.67;0.0;25.56;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-RS;Tribunal Superior Eleitoral;49.25;131.05;NA;NA;18.75;13.89;70.21;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-TO;Tribunal Superior Eleitoral;74.61;129.82;NA;NA;39.29;0.0;114.45;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRE-SP;Tribunal Superior Eleitoral;48.42;112.21;NA;NA;25.0;44.87;116.33;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJRJ;Justiça Estadual;96.33;89.39;108.74;90.36;3.02;103.14;49.84;11.54;0.0;0.0;82.59;61.64;52.85;96.35;NA;NA
TJSC;Justiça Estadual;105.99;105.49;101.59;92.61;20.3;130.67;76.01;15.5;NA;NA;102.08;81.01;86.71;93.41;NA;NA
TJPR;Justiça Estadual;97.01;106.9;108.63;99.39;2.84;135.33;81.18;15.86;NA;0.0;96.59;82.56;78.54;95.61;NA;NA
TRF2;Justiça Federal;131.63;110.97;98.23;NA;99.46;112.44;83.79;40.26;71.43;0.0;NA;NA;0.0;NA;NA;NA
TRF5;Justiça Federal;93.01;100.5;77.37;NA;71.5;90.21;75.87;44.6;68.97;0.0;NA;NA;0.0;NA;NA;NA
TRF3;Justiça Federal;123.22;95.56;91.95;NA;98.76;101.53;66.81;40.13;34.84;0.0;NA;NA;0.0;NA;NA;NA
TRF6;Justiça Federal;185.75;56.47;78.09;NA;93.47;70.8;47.0;9.42;10.99;0.0;NA;NA;0.0;NA;NA;NA
TRT10;Justiça do Trabalho;82.28;102.12;NA;NA;29.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT11;Justiça do Trabalho;81.15;104.33;NA;NA;73.91;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT1;Justiça do Trabalho;94.31;95.24;NA;NA;24.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT13;Justiça do Trabalho;87.65;105.77;NA;NA;5.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT14;Justiça do Trabalho;80.22;106.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT12;Justiça do Trabalho;83.43;101.91;NA;NA;40.62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRF1;Justiça Federal;92.53;76.53;93.83;NA;96.33;84.61;71.18;28.62;27.7;15.76;NA;NA;0.0;NA;NA;NA
TRT16;Justiça do Trabalho;84.36;103.73;NA;NA;33.33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT17;Justiça do Trabalho;85.48;100.0;NA;NA;23.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT19;Justiça do Trabalho;80.77;104.59;NA;NA;100.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT18;Justiça do Trabalho;91.8;104.81;NA;NA;28.26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT20;Justiça do Trabalho;90.1;104.3;NA;NA;53.92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT22;Justiça do Trabalho;80.32;105.41;NA;NA;100.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT21;Justiça do Trabalho;100.93;105.91;NA;NA;14.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJMG;Justiça Estadual;103.75;99.24;93.05;90.85;17.38;124.52;62.59;14.73;NA;0.0;85.93;74.24;64.45;76.6;NA;NA
TRT24;Justiça do Trabalho;80.92;105.25;NA;NA;0.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT23;Justiça do Trabalho;290.68;104.38;NA;NA;0.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT15;Justiça do Trabalho;84.07;97.3;NA;NA;34.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRF4;Justiça Federal;116.23;103.88;97.94;NA;98.37;115.19;85.26;57.39;61.38;71.43;NA;NA;0.0;NA;NA;NA
TRT5;Justiça do Trabalho;97.82;100.86;NA;NA;23.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT6;Justiça do Trabalho;86.44;102.11;NA;NA;20.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT7;Justiça do Trabalho;90.75;103.89;NA;NA;20.17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT3;Justiça do Trabalho;106.13;99.79;NA;NA;37.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT4;Justiça do Trabalho;85.25;92.05;NA;NA;15.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJRS;Justiça Estadual;97.98;92.6;105.35;87.81;5.49;123.8;72.09;14.09;0.0;0.0;92.03;56.32;67.07;96.15;NA;NA
TST;Tribunal Superior do Trabalho;70.25;NA;NA;NA;18.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT8;Justiça do Trabalho;95.67;105.76;NA;NA;100.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT2;Justiça do Trabalho;96.51;103.7;NA;NA;35.97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TRT9;Justiça do Trabalho;85.67;103.42;NA;NA;36.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TJSP;Justiça Estadual;97.66;98.73;89.47;85.28;5.4;128.72;70.74;15.44;NA;200.0;93.04;90.31;58.88;85.87;NA;NA
